Adobe After Effects 8.0 Keyframe Data

	Units Per Second	30
	Source Width	100
	Source Height	100
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Transform	Position
	Frame	X pixels	Y pixels	Z pixels	
	0	976	204	0	
	1	964.82	195.34	0	
	2	954.086	186.875	0	
	3	942.105	179.871	0	
	4	928.469	174.145	0	
	5	913.918	168.828	0	
	6	899.895	163.703	0	
	7	885.285	159.387	0	
	8	868.902	155.891	0	
	9	851.629	153.5	0	
	10	831.711	151.762	0	
	11	810.969	152.477	0	
	12	789.84	154.012	0	
	13	769.934	157.039	0	
	14	750.211	162.062	0	
	15	731.496	169.164	0	
	16	715.031	178.457	0	
	17	696.934	189.34	0	
	18	678.188	203.051	0	
	19	662.211	218.176	0	
	20	647.059	233.492	0	
	21	635.332	247.262	0	
	22	627.219	258.816	0	
	23	618.641	271.59	0	
	24	611.98	282.762	0	
	25	605.645	294.008	0	
	26	594.613	314.762	0	
	27	574.09	346.117	0	
	28	555.98	376.164	0	
	29	539.766	400.418	0	
	30	528.777	417.676	0	
	31	523.809	425.695	0	
	32	521.809	430.684	0	
	33	520.723	432.137	0	
	34	519.254	433.734	0	
	35	513.586	442.914	0	
	36	501.16	465.523	0	
	37	488.727	489.469	0	
	38	477.672	510.848	0	
	39	466.652	532.09	0	
	40	457.43	551.867	0	
	41	449.77	570.586	0	
	42	443.047	591.23	0	
	43	439.027	610.605	0	
	44	436.992	629.223	0	
	45	435.859	652.332	0	
	46	434.977	682.352	0	
	47	435.855	707.367	0	
	48	440.445	740.926	0	
	49	448.32	772.797	0	
	50	458.617	801.512	0	
	51	475.047	831.434	0	
	52	493.086	857.047	0	
	53	511.973	878.191	0	
	54	532.082	896.352	0	
	55	551.59	909.367	0	
	56	569.859	919.07	0	
	57	588.09	925.973	0	
	58	606.09	931.961	0	
	59	623.227	935.477	0	
	60	640.66	938.238	0	
	61	657.254	938.383	0	
	62	674.984	937.512	0	
	63	695.508	935.461	0	
	64	719.766	932.711	0	
	65	744.402	930.379	0	
	66	769.316	928.289	0	
	67	790.672	928.789	0	
	68	803.496	929.512	0	
	69	809.648	929.715	0	
	70	813.68	930.398	0	
	71	821.461	930.18	0	
	72	833.68	930.184	0	
	73	853.266	929.324	0	
	74	874.242	929.004	0	
	75	895.031	928.684	0	
	76	911.945	929.34	0	
	77	923.977	928.562	0	
	78	933.258	927.832	0	
	79	944.238	929.684	0	
	80	957.371	929.977	0	
	81	976.398	927.879	0	
	82	992.363	928.961	0	
	83	1013.18	931.488	0	
	84	1037.38	929.824	0	
	85	1059.09	927.871	0	
	86	1080.09	924.84	0	
	87	1100.1	919.617	0	
	88	1116.94	909.551	0	
	89	1132.07	897.125	0	
	90	1146.17	884.996	0	
	91	1159.11	873.105	0	
	92	1170.13	860.051	0	
	93	1181.19	847.789	0	
	94	1190.71	835.332	0	
	95	1200.31	823.379	0	
	96	1208.44	810.184	0	
	97	1215.62	797.133	0	
	98	1222.22	781.277	0	
	99	1228.34	765.977	0	
	100	1232.91	746.504	0	
	101	1236.88	728.398	0	
	102	1237.38	712.004	0	
	103	1236.39	697.016	0	
	104	1234.39	680.906	0	
	105	1234.89	664.32	0	
	106	1234.89	643.512	0	
	107	1229.3	628.414	0	
	108	1226.07	612.082	0	
	109	1221.96	597.52	0	
	110	1217.53	583.812	0	
	111	1213.18	570.188	0	
	112	1208.27	557.969	0	
	113	1204.14	546.73	0	
	114	1200.25	535.18	0	
	115	1196.27	523.07	0	
	116	1191.35	511.25	0	
	117	1185.47	500.297	0	
	118	1178.9	489.207	0	
	123	1146.4	436.207	0	
	124	1140.8	427.781	0	
	125	1135.79	420.285	0	
	126	1130.62	412.594	0	
	127	1125.29	405.512	0	
	128	1120.52	398.715	0	
	129	1115.54	390.75	0	
	130	1109.8	382.926	0	
	131	1103.72	374.707	0	
	132	1097.23	365.934	0	
	133	1090.22	356.336	0	
	134	1083.06	347.207	0	
	135	1076.2	338.609	0	
	136	1068.95	329.207	0	
	137	1061.22	319.562	0	
	138	1054.49	310.207	0	
	139	1047.36	301.207	0	
	140	1041.41	292.449	0	
	141	1035.07	282.504	0	
	142	1027.45	271.188	0	
	143	1022.18	260.504	0	
	144	1014.45	249.477	0	
	145	1010.33	240.207	0	
	146	1001.31	228.805	0	
	147	990.434	216	0	
	148	982.305	204.199	0	


End of Keyframe Data
